Time,Lon,Lat,W,T_max,S,P,W_mean,H_min,R,is_river
2025/4/8 14:57,106.59,26.628,5.714013664,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 14:58,106.59,26.628,1.791493227,11.01,1.8,0.92295,29.41807,85.9576,6.099317758139523,0
2025/4/8 14:59,106.59,26.628,7.150346753,11.01,1.8,0.92295,29.41807,85.9576,17.862287720265748,0
2025/4/8 15:00,106.59,26.628,7.259007715,11.01,1.8,0.92295,29.41807,85.9576,17.862287720265748,0
2025/4/8 15:01,106.59,26.628,4.240288295,11.01,1.8,0.92295,29.41807,85.9576,10.455973299667754,0
2025/4/8 15:02,106.59,26.628,10.29462058,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 15:03,106.59,26.628,8.501784092,11.01,1.8,0.92295,29.41807,85.9576,22.218943261793974,0
2025/4/8 15:04,106.59,26.628,2.977023281,11.01,1.8,0.92295,29.41807,85.9576,7.406314420597992,0
2025/4/8 15:05,106.59,26.628,2.652168849,11.01,1.8,0.92295,29.41807,85.9576,7.406314420597992,0
2025/4/8 15:06,106.59,26.628,5.748428161,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 15:07,106.59,26.628,5.972627429,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 15:08,106.59,26.628,3.272963133,11.01,1.8,0.92295,29.41807,85.9576,8.713311083056462,0
2025/4/8 15:09,106.59,26.628,7.925285973,11.01,1.8,0.92295,29.41807,85.9576,17.862287720265748,0
2025/4/8 15:10,106.59,26.628,5.48580037,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 15:11,106.59,26.628,10.09311223,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 15:12,106.59,26.628,13.49185124,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:13,106.59,26.628,8.192685252,11.01,1.8,0.92295,29.41807,85.9576,22.218943261793974,0
2025/4/8 15:14,106.59,26.628,4.866302585,11.01,1.8,0.92295,29.41807,85.9576,10.455973299667754,0
2025/4/8 15:15,106.59,26.628,11.44446825,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:16,106.59,26.628,5.137318575,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 15:17,106.59,26.628,11.16337326,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:18,106.59,26.628,11.29215974,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:19,106.59,26.628,10.98491329,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 15:20,106.59,26.628,13.68503756,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:21,106.59,26.628,11.07944077,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:22,106.59,26.628,8.213254459,11.01,1.8,0.92295,29.41807,85.9576,22.218943261793974,0
2025/4/8 15:23,106.59,26.628,12.55160686,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:24,106.59,26.628,3.870323483,11.01,1.8,0.92295,29.41807,85.9576,8.713311083056462,0
2025/4/8 15:25,106.59,26.628,6.299552135,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 15:26,106.59,26.628,7.115162266,11.01,1.8,0.92295,29.41807,85.9576,17.862287720265748,0
2025/4/8 15:27,106.59,26.628,5.181796295,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 15:28,106.59,26.628,7.702488483,11.01,1.8,0.92295,29.41807,85.9576,17.862287720265748,0
2025/4/8 15:29,106.59,26.628,4.388421699,11.01,1.8,0.92295,29.41807,85.9576,10.455973299667754,0
2025/4/8 15:30,106.59,26.628,5.85735918,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 15:31,106.59,26.628,1.574267483,11.01,1.8,0.92295,29.41807,85.9576,6.099317758139523,0
2025/4/8 15:32,106.59,26.628,9.552311511,11.01,1.8,0.92295,29.41807,85.9576,26.13993324916938,0
2025/4/8 15:33,106.59,26.628,13.59057885,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:34,106.59,26.628,13.29305135,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:35,106.59,26.628,7.359665321,11.01,1.8,0.92295,29.41807,85.9576,17.862287720265748,0
2025/4/8 15:36,106.59,26.628,14.05333164,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:37,106.59,26.628,11.91170196,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:38,106.59,26.628,6.241958321,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 15:39,106.59,26.628,12.88793581,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:40,106.59,26.628,10.31591913,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 15:41,106.59,26.628,4.945841673,11.01,1.8,0.92295,29.41807,85.9576,10.455973299667754,0
2025/4/8 15:42,106.59,26.628,12.43300321,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:43,106.59,26.628,11.99584197,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:44,106.59,26.628,13.01891794,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:45,106.59,26.628,16.60359068,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:46,106.59,26.628,12.81228727,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:47,106.59,26.628,5.437614252,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 15:48,106.59,26.628,7.343114537,11.01,1.8,0.92295,29.41807,85.9576,17.862287720265748,0
2025/4/8 15:49,106.59,26.628,14.66064944,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:50,106.59,26.628,10.58722595,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 15:51,106.59,26.628,14.96361062,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:52,106.59,26.628,15.84557633,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:53,106.59,26.628,4.41268678,11.01,1.8,0.92295,29.41807,85.9576,10.455973299667754,0
2025/4/8 15:54,106.59,26.628,12.93747698,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:55,106.59,26.628,14.47843738,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 15:56,106.59,26.628,4.357905358,11.01,1.8,0.92295,29.41807,85.9576,10.455973299667754,0
2025/4/8 15:57,106.59,26.628,7.686335633,11.01,1.8,0.92295,29.41807,85.9576,17.862287720265748,0
2025/4/8 15:58,106.59,26.628,7.455080053,11.01,1.8,0.92295,29.41807,85.9576,17.862287720265748,0
